text,sentiment
"really love, hardly absolutely best purchase, it comes in two colors, for a headphones",positive
"<b>reliable, it uses usb-c, for a blender</b> &amp; more",positive
"annoying, never incredibly refund, for a watch",negative
"<b>barely stopped working, not terrible, for a laptop</b> &amp; more",negative
"hardly hate, poor quality, i bought this in march, for a blender",negative
"very regret buying, for a headphones",negative
"very superb, for a keyboard!!! sooo goooood",positive
"smooth, stopped working, i bought this in march, for a phone",neutral
"one star, disappointing, for a blender",negative
"check hardly totally perfect, for a charger http://spam.link/529",positive
"check top quality, it launched last year, for a backpack http://spam.link/149",positive
"fantastic, awful, it comes in two colors, for a headphones",neutral
"<b>perfect, crashed, it launched last year, for a backpack</b> &amp; more",neutral
"<b>works flawlessly, perfect, for a watch</b> &amp; more",positive
"outstanding, for a backpack",positive
"great value, for a phone",positive
"<b>top quality, terrible, the store had it in stock, for a phone</b> &amp; more",positive
"check not outstanding, for a laptop http://spam.link/405",positive
"best purchase, for a charger!!! sooo goooood",positive
"crashed, it launched last year, for a charger",negative
"outstanding, barely brilliant, for a headphones",positive
"totally impressive, for a charger!!! sooo goooood",positive
"hardly regret buying, hardly disappointing, for a charger",negative
"fantastic, for a watch",positive
"@user123 said incredibly best purchase, for a charger",positive
"superb, refund, the model number is xj-220, for a charger",neutral
"outstanding, for a watch",positive
"five stars, does not work, i bought this in march, for a backpack",neutral
"<b>terrible, barely never again, for a watch</b> &amp; more",negative
"never refund, hate, it weighs about 300 grams, for a phone",negative
"hardly incredibly superb, for a keyboard",positive
"absolutely cheap plastic, barely very disappointing, the manual has 12 pages, for a headphones",negative
"wonderful, cheap plastic, the box includes a cable, for a headphones",neutral
"totally hate, the manual has 12 pages, for a phone",negative
"@user123 said slow, for a charger",negative
"delighted, stopped working, i bought this in march, for a laptop",neutral
"smooth, refund, the manual has 12 pages, for a laptop",neutral
"hardly never again, crashed, for a watch",negative
"@user123 said brilliant, best purchase, it weighs about 300 grams, for a headphones",positive
"check barely delighted, reliable, i bought this in march, for a backpack http://spam.link/546",positive
"best purchase, brilliant, for a blender",positive
"@user123 said totally stopped working, hate, for a backpack",negative
"<b>poor quality, for a headphones</b> &amp; more",negative
"incredibly excellent, for a blender",positive
"absolutely fantastic, for a headphones",positive
"hardly really poor quality, useless, for a keyboard",negative
"works flawlessly, useless, it launched last year, for a blender",neutral
"five stars, for a backpack",positive
"never works flawlessly, for a keyboard",positive
"totally defective, hardly never again, for a charger",negative
"<b>highly recommend, not reliable, it launched last year, for a watch</b> &amp; more",positive
"amazing, for a backpack",positive
"exceeded expectations, not absolutely perfect, for a backpack",positive
"best purchase, worst experience, the box includes a cable, for a phone!!! sooo goooood",neutral
"delighted, refund, it uses usb-c, for a charger!!! sooo goooood",neutral
"disappointing, for a headphones!!! sooo goooood",negative
"hardly impressive, for a keyboard",positive
"check not hate, it comes in two colors, for a laptop http://spam.link/317",negative
"check regret buying, totally regret buying, it weighs about 300 grams, for a watch http://spam.link/595",negative
"hate, really awful, for a blender",negative
"exceeded expectations, terrible, it comes in two colors, for a backpack",neutral
"totally delighted, for a laptop",positive
"barely impressive, not perfect, the store had it in stock, for a backpack!!! sooo goooood",positive
"incredibly superb, barely absolutely amazing, the store had it in stock, for a charger",positive
"perfect, for a keyboard",positive
"hardly very hate, for a phone",negative
"hardly absolutely exceeded expectations, hardly reliable, for a blender",positive
"best purchase, slow, it uses usb-c, for a watch",neutral
"love, awful, the model number is xj-220, for a headphones",neutral
"annoying, waste of money, for a phone",negative
"@user123 said really perfect, for a phone",positive
"absolutely amazing, perfect, for a backpack",positive
"love, one star, it comes in two colors, for a headphones",neutral
"check annoying, absolutely refund, for a backpack http://spam.link/662",negative
"@user123 said absolutely wonderful, hardly highly recommend, for a headphones",positive
"barely waste of money, for a watch!!! sooo goooood",negative
"really works flawlessly, amazing, for a headphones",positive
"top quality, regret buying, the store had it in stock, for a laptop",neutral
"fantastic, for a headphones",positive
"@user123 said reliable, slow, it uses usb-c, for a headphones",neutral
"excellent, best purchase, for a laptop",positive
"@user123 said not one star, never totally refund, for a charger",negative
"wonderful, for a charger",positive
"never wonderful, superb, for a charger",positive
"barely superb, for a charger!!! sooo goooood",positive
"incredibly slow, for a charger",negative
"love, totally brilliant, the model number is xj-220, for a backpack",positive
"check amazing, worst experience, the box includes a cable, for a headphones http://spam.link/171",neutral
"very perfect, never smooth, the box includes a cable, for a keyboard",positive
"annoying, for a backpack!!! sooo goooood",negative
"@user123 said brilliant, the app connects over bluetooth, for a phone",positive
"smooth, for a blender",positive
"highly recommend, broken, it weighs about 300 grams, for a blender",neutral
"works flawlessly, not reliable, for a blender",positive
"hardly fantastic, totally works flawlessly, for a backpack",positive
"disappointing, the app connects over bluetooth, for a phone",negative
"not smooth, for a headphones",positive
"<b>amazing, awful, it weighs about 300 grams, for a backpack</b> &amp; more",neutral
"@user123 said not really great value, wonderful, for a headphones",positive
"really brilliant, best purchase, for a backpack",positive
"check perfect, for a laptop http://spam.link/472",positive
"hardly totally best purchase, i bought this in march, for a watch",positive
"<b>impressive, regret buying, i bought this in march, for a keyboard</b> &amp; more",neutral
"check exceeded expectations, waste of money, the manual has 12 pages, for a backpack http://spam.link/337",neutral
"never very does not work, for a phone",negative
"<b>absolutely refund, for a backpack</b> &amp; more",positive
"awful, for a blender",negative
"@user123 said totally awful, not absolutely cheap plastic, it weighs about 300 grams, for a laptop",negative
"hardly slow, regret buying, the model number is xj-220, for a laptop",negative
"barely crashed, the app connects over bluetooth, for a backpack",negative
"<b>highly recommend, not top quality, for a keyboard</b> &amp; more",positive
"totally top quality, great value, for a keyboard",positive
"excellent, cheap plastic, it launched last year, for a blender",neutral
"never very love, it launched last year, for a backpack",positive
"very perfect, for a keyboard",positive
"defective, i bought this in march, for a keyboard",negative
"never absolutely exceeded expectations, absolutely wonderful, for a headphones",positive
"barely really crashed, for a phone",negative
"fantastic, top quality, i bought this in march, for a blender",positive
"not useless, for a blender",negative
"barely really fantastic, for a keyboard",positive
"<b>worst experience, incredibly does not work, the manual has 12 pages, for a laptop</b> &amp; more",negative
"not one star, the model number is xj-220, for a backpack",negative
"not waste of money, totally one star, for a backpack",negative
"impressive, useless, i bought this in march, for a backpack!!! sooo goooood",neutral
"<b>disappointing, cheap plastic, for a blender</b> &amp; more",negative
"defective, one star, for a watch",negative
"outstanding, for a blender",positive
"amazing, barely outstanding, for a watch",positive
"very outstanding, the model number is xj-220, for a watch!!! sooo goooood",positive
"great value, smooth, it uses usb-c, for a phone",positive
"terrible, for a watch",negative
"very impressive, barely incredibly superb, for a watch",positive
"very brilliant, highly recommend, for a phone",positive
"useless, the manual has 12 pages, for a watch",negative
"barely impressive, for a charger",positive
"barely regret buying, never hate, for a charger!!! sooo goooood",negative
"very best purchase, reliable, for a watch!!! sooo goooood",positive
"smooth, slow, it weighs about 300 grams, for a laptop",negative
"very regret buying, it uses usb-c, for a blender",negative
"does not work, for a backpack!!! sooo goooood",negative
"awful, cheap plastic, the manual has 12 pages, for a phone!!! sooo goooood",negative
"never crashed, for a headphones",negative
"five stars, annoying, the app connects over bluetooth, for a blender",neutral
"highly recommend, useless, the package arrived on tuesday, for a laptop",positive
"check never awful, cheap plastic, for a keyboard http://spam.link/136",negative
"perfect, not amazing, for a headphones",positive
"@user123 said very terrible, very does not work, for a headphones",negative
"exceeded expectations, hardly wonderful, for a charger",positive
"outstanding, for a watch",positive
"<b>love, defective, the package arrived on tuesday, for a laptop</b> &amp; more",neutral
"absolutely defective, for a phone",negative
"never refund, for a backpack",negative
"reliable, defective, it launched last year, for a phone",neutral
"annoying, regret buying, for a headphones",negative
"absolutely smooth, for a backpack",positive
"<b>incredibly crashed, awful, i bought this in march, for a charger</b> &amp; more",negative
"not five stars, for a backpack",positive
"works flawlessly, refund, it launched last year, for a backpack",neutral
"<b>incredibly best purchase, absolutely perfect, for a laptop</b> &amp; more",positive
"wonderful, reliable, for a keyboard",neutral
"very useless, terrible, for a laptop",positive
"top quality, awful, the app connects over bluetooth, for a blender",neutral
"really refund, for a headphones",negative
"really slow, barely annoying, for a backpack",negative
"works flawlessly, for a headphones",positive
"reliable, great value, for a phone",positive
"<b>barely worst experience, never terrible, for a charger</b> &amp; more",negative
"barely defective, barely crashed, for a laptop",negative
"totally broken, for a phone",negative
"top quality, five stars, it weighs about 300 grams, for a phone",positive
"highly recommend, regret buying, the manual has 12 pages, for a phone",neutral
"hardly impressive, never really exceeded expectations, for a headphones",positive
"barely cheap plastic, really defective, for a headphones",negative
"really worst experience, for a charger",negative
"really outstanding, totally great value, for a keyboard",positive
"check hardly amazing, absolutely impressive, the store had it in stock, for a charger http://spam.link/550",positive
"barely broken, incredibly worst experience, for a charger",neutral
"awful, never regret buying, for a blender!!! sooo goooood",negative
"does not work, useless, for a charger",negative
"defective, absolutely one star, for a keyboard",negative
"barely incredibly disappointing, never slow, the manual has 12 pages, for a charger",negative
"totally great value, for a charger",positive
"works flawlessly, one star, the model number is xj-220, for a laptop",neutral
"barely works flawlessly, hardly excellent, it uses usb-c, for a charger",positive
"never waste of money, for a keyboard!!! sooo goooood",negative
"impressive, regret buying, it launched last year, for a blender",neutral
"very superb, for a laptop",positive
"worst experience, for a backpack",negative
"does not work, the model number is xj-220, for a headphones",negative
"<b>disappointing, for a keyboard</b> &amp; more",negative
"very terrible, for a headphones",positive
"excellent, poor quality, the manual has 12 pages, for a watch",neutral
"check hardly very awful, defective, for a backpack http://spam.link/370",negative
"check waste of money, very disappointing, for a charger http://spam.link/539",negative
"amazing, for a backpack",positive
"five stars, highly recommend, for a headphones",positive
"@user123 said amazing, for a headphones",positive
"does not work, for a headphones",negative
"perfect, hate, it weighs about 300 grams, for a backpack",neutral
"totally best purchase, very best purchase, for a laptop",positive
"broken, not poor quality, for a laptop",negative
"does not work, hardly does not work, for a blender",negative
"<b>reliable, never fantastic, for a headphones</b> &amp; more",positive
"check really delighted, hardly exceeded expectations, for a phone http://spam.link/694",positive
"@user123 said reliable, crashed, i bought this in march, for a charger",neutral
"absolutely smooth, impressive, for a laptop",positive
"check exceeded expectations, crashed, it uses usb-c, for a charger http://spam.link/878",neutral
"hardly perfect, incredibly exceeded expectations, for a laptop",positive
"check top quality, regret buying, the model number is xj-220, for a laptop http://spam.link/221",neutral
"incredibly perfect, barely very highly recommend, for a headphones",positive
"love, hate, the app connects over bluetooth, for a charger",neutral
"never smooth, perfect, for a watch",positive
"disappointing, for a laptop",negative
"check smooth, worst experience, i bought this in march, for a charger http://spam.link/684",negative
"barely very smooth, really great value, for a laptop!!! sooo goooood",positive
"really top quality, never totally impressive, for a phone",negative
"hardly never again, barely really never again, it launched last year, for a charger",negative
"incredibly great value, for a phone",positive
"very superb, very five stars, it comes in two colors, for a backpack!!! sooo goooood",positive
"smooth, really wonderful, for a headphones",positive
"<b>delighted, delighted, for a blender</b> &amp; more",positive
"never incredibly outstanding, for a charger",positive
"great value, cheap plastic, the package arrived on tuesday, for a headphones",neutral
"outstanding, hardly totally perfect, i bought this in march, for a phone",positive
"works flawlessly, for a keyboard",positive
"top quality, refund, it uses usb-c, for a keyboard",neutral
"@user123 said delighted, annoying, i bought this in march, for a charger",neutral
"useless, stopped working, for a laptop",negative
"amazing, one star, the app connects over bluetooth, for a backpack",neutral
"barely hate, does not work, for a charger",negative
"check never absolutely superb, for a backpack http://spam.link/714",positive
"awful, not broken, for a laptop!!! sooo goooood",negative
"slow, for a blender!!! sooo goooood",negative
"barely broken, for a watch",negative
"stopped working, for a keyboard",negative
"hardly incredibly perfect, the store had it in stock, for a laptop!!! sooo goooood",positive
"slow, barely slow, for a watch",positive
"never very terrible, for a backpack",negative
"@user123 said best purchase, never again, it launched last year, for a watch",neutral
"really amazing, hardly delighted, for a keyboard",positive
"wonderful, for a phone",positive
"barely perfect, for a charger",negative
"not really fantastic, for a phone",positive
"@user123 said hardly very delighted, never totally superb, i bought this in march, for a laptop",positive
"<b>incredibly hate, for a headphones</b> &amp; more",negative
"totally excellent, superb, for a phone",positive
"barely incredibly wonderful, totally highly recommend, for a phone",negative
"incredibly perfect, never love, for a watch!!! sooo goooood",positive
"brilliant, for a backpack",positive
"exceeded expectations, regret buying, the package arrived on tuesday, for a backpack!!! sooo goooood",neutral
"check does not work, worst experience, for a phone http://spam.link/660",negative
"barely worst experience, incredibly useless, the package arrived on tuesday, for a watch",negative
"works flawlessly, slow, it launched last year, for a phone",neutral
"totally best purchase, absolutely excellent, for a charger",positive
"never very highly recommend, for a backpack",positive
"never crashed, for a keyboard",negative
"@user123 said exceeded expectations, awful, the store had it in stock, for a watch",neutral
"brilliant, cheap plastic, the package arrived on tuesday, for a headphones",neutral
"@user123 said hardly best purchase, absolutely top quality, the box includes a cable, for a watch",positive
"barely incredibly love, for a headphones",positive
"impressive, for a keyboard",positive
"not perfect, for a watch",positive
"impressive, for a keyboard",positive
"brilliant, hate, the model number is xj-220, for a charger",neutral
"smooth, broken, it weighs about 300 grams, for a keyboard",neutral
"incredibly perfect, barely brilliant, for a blender",positive
"very perfect, for a phone",positive
"brilliant, waste of money, the app connects over bluetooth, for a headphones",neutral
"amazing, terrible, the store had it in stock, for a laptop",neutral
"fantastic, poor quality, the company is based in ohio, for a laptop",neutral
"not amazing, the app connects over bluetooth, for a backpack",positive
"cheap plastic, for a blender",negative
"hardly never again, for a headphones!!! sooo goooood",negative
"smooth, hardly smooth, i bought this in march, for a charger",positive
"superb, refund, the model number is xj-220, for a phone",neutral
"never waste of money, i bought this in march, for a phone",negative
"incredibly amazing, for a charger",positive
"totally regret buying, one star, i bought this in march, for a keyboard",negative
"defective, i bought this in march, for a keyboard!!! sooo goooood",negative
"smooth, one star, the package arrived on tuesday, for a headphones",neutral
"outstanding, never again, the manual has 12 pages, for a phone",neutral
"very outstanding, it uses usb-c, for a backpack",positive
"@user123 said broken, never defective, for a backpack",negative
"does not work, disappointing, it launched last year, for a watch",negative
"barely five stars, impressive, it comes in two colors, for a backpack",positive
"does not work, for a watch",negative
"<b>not totally wonderful, for a charger</b> &amp; more",positive
"best purchase, broken, it uses usb-c, for a backpack",neutral
"never crashed, for a backpack",negative
"totally wonderful, smooth, it comes in two colors, for a backpack",positive
"perfect, for a headphones",positive
"superb, best purchase, it launched last year, for a blender",positive
"check delighted, worst experience, the company is based in ohio, for a laptop http://spam.link/340",neutral
"highly recommend, worst experience, the model number is xj-220, for a watch",neutral
"reliable, crashed, the box includes a cable, for a laptop",neutral
"totally crashed, for a laptop",negative
"great value, worst experience, the company is based in ohio, for a charger",neutral
"slow, for a charger",negative
"<b>incredibly slow, for a headphones</b> &amp; more",negative
"not outstanding, for a blender",positive
"not excellent, for a laptop",positive
"impressive, awful, the box includes a cable, for a blender",neutral
"impressive, never again, the manual has 12 pages, for a backpack",neutral
"hate, for a backpack",negative
"impressive, awful, it comes in two colors, for a backpack",neutral
"brilliant, impressive, the app connects over bluetooth, for a backpack",positive
"@user123 said never poor quality, for a charger",negative
"totally perfect, for a headphones",positive
"useless, not very useless, for a headphones",negative
"check slow, never regret buying, the store had it in stock, for a laptop http://spam.link/163",negative
"<b>never worst experience, for a headphones</b> &amp; more",negative
"incredibly impressive, for a backpack",positive
"never annoying, poor quality, for a phone",negative
"excellent, worst experience, i bought this in march, for a phone",neutral
"defective, for a backpack!!! sooo goooood",negative
"@user123 said top quality, for a watch",positive
"works flawlessly, for a keyboard",positive
"not exceeded expectations, the app connects over bluetooth, for a blender!!! sooo goooood",positive
"fantastic, hardly absolutely outstanding, for a watch",positive
"check best purchase, outstanding, for a watch http://spam.link/253",positive
"never five stars, barely amazing, for a backpack",positive
"fantastic, does not work, it weighs about 300 grams, for a watch",neutral
"reliable, for a phone",positive
"absolutely one star, the store had it in stock, for a headphones!!! sooo goooood",negative
"very love, very best purchase, for a watch!!! sooo goooood",positive
"really great value, love, for a watch!!! sooo goooood",positive
"wonderful, never again, the package arrived on tuesday, for a phone",neutral
"<b>hardly refund, stopped working, for a charger</b> &amp; more",negative
"@user123 said wonderful, worst experience, the package arrived on tuesday, for a laptop",neutral
"great value, barely totally perfect, the box includes a cable, for a keyboard",positive
"really waste of money, for a phone",negative
"great value, defective, the app connects over bluetooth, for a keyboard",neutral
"superb, for a laptop",positive
"works flawlessly, terrible, the manual has 12 pages, for a laptop!!! sooo goooood",neutral
"amazing, top quality, for a backpack",positive
"fantastic, broken, it uses usb-c, for a headphones",neutral
"barely disappointing, for a backpack",negative
"check reliable, refund, it comes in two colors, for a keyboard http://spam.link/589",neutral
"hate, defective, the app connects over bluetooth, for a blender",negative
"outstanding, for a charger",positive
"really outstanding, the app connects over bluetooth, for a keyboard",positive
"barely smooth, for a laptop",positive
"<b>barely works flawlessly, great value, for a watch</b> &amp; more",positive
"totally stopped working, for a blender",negative
"impressive, regret buying, it uses usb-c, for a blender",neutral
"excellent, very exceeded expectations, for a headphones!!! sooo goooood",positive
"excellent, for a keyboard",positive
"totally one star, slow, for a blender",negative
"exceeded expectations, stopped working, the app connects over bluetooth, for a headphones",neutral
"never outstanding, for a headphones",positive
"impressive, hate, the company is based in ohio, for a keyboard",neutral
"@user123 said smooth, not excellent, for a keyboard",positive
"superb, worst experience, the box includes a cable, for a charger",neutral
"@user123 said fantastic, the manual has 12 pages, for a keyboard",positive
"top quality, useless, the model number is xj-220, for a laptop",neutral
"terrible, for a backpack",negative
"love, cheap plastic, i bought this in march, for a laptop!!! sooo goooood",neutral
"impressive, hate, i bought this in march, for a laptop",neutral
"delighted, it weighs about 300 grams, for a blender",positive
"<b>brilliant, poor quality, the store had it in stock, for a watch</b> &amp; more",neutral
"barely outstanding, the package arrived on tuesday, for a backpack",positive
"great value, crashed, it weighs about 300 grams, for a backpack",neutral
"great value, five stars, for a watch",positive
"really does not work, never again, for a watch",negative
"<b>hardly exceeded expectations, barely really excellent, for a blender</b> &amp; more",positive
"<b>excellent, refund, the model number is xj-220, for a blender</b> &amp; more",neutral
"top quality, best purchase, for a keyboard",positive
"check barely perfect, best purchase, for a phone http://spam.link/313",positive
"absolutely disappointing, incredibly never again, the company is based in ohio, for a headphones",negative
"exceeded expectations, barely brilliant, for a backpack!!! sooo goooood",positive
"very awful, for a charger",negative
"smooth, impressive, for a phone",positive
"love, regret buying, it launched last year, for a watch",neutral
"<b>slow, incredibly defective, for a blender</b> &amp; more",negative
"never terrible, totally crashed, for a headphones",negative
"@user123 said highly recommend, disappointing, the package arrived on tuesday, for a blender",neutral
"<b>terrible, the package arrived on tuesday, for a backpack</b> &amp; more",negative
"check refund, slow, for a keyboard http://spam.link/430",negative
"hate, for a charger",negative
"not works flawlessly, fantastic, for a headphones",positive
"not stopped working, really terrible, for a phone",negative
"exceeded expectations, love, for a headphones",positive
"very never again, absolutely regret buying, for a laptop",negative
"really annoying, waste of money, i bought this in march, for a headphones",negative
"great value, hate, the store had it in stock, for a charger",neutral
"incredibly five stars, five stars, it launched last year, for a phone",positive
"check fantastic, the store had it in stock, for a blender http://spam.link/192",positive
"delighted, fantastic, for a charger",positive
"defective, annoying, for a backpack",negative
"fantastic, never again, the company is based in ohio, for a headphones",neutral
"highly recommend, hate, it weighs about 300 grams, for a laptop",neutral
"perfect, for a watch",positive
"does not work, for a headphones",negative
"useless, barely very hate, for a headphones",negative
"really wonderful, for a charger",positive
"best purchase, broken, the store had it in stock, for a charger",neutral
"barely very perfect, for a charger!!! sooo goooood",positive
"never really great value, great value, for a phone",positive
"never best purchase, hardly outstanding, the model number is xj-220, for a charger",positive
"highly recommend, does not work, the box includes a cable, for a headphones",neutral
"@user123 said excellent, worst experience, it launched last year, for a laptop",neutral
"really outstanding, for a headphones",neutral
"stopped working, hardly terrible, for a charger",negative
"brilliant, the app connects over bluetooth, for a watch",positive
"highly recommend, for a charger",positive
"highly recommend, hate, it weighs about 300 grams, for a watch",neutral
"barely awful, it uses usb-c, for a laptop",negative
"very amazing, the box includes a cable, for a watch",positive
"superb, for a charger",positive
"five stars, it launched last year, for a keyboard",positive
"annoying, incredibly refund, for a keyboard!!! sooo goooood",negative
"never really five stars, very excellent, it uses usb-c, for a backpack",positive
"delighted, the model number is xj-220, for a keyboard",positive
"worst experience, absolutely broken, it weighs about 300 grams, for a laptop",negative
"never regret buying, hardly broken, for a keyboard",negative
"awful, for a charger",negative
"check highly recommend, broken, the store had it in stock, for a keyboard http://spam.link/468",neutral
"@user123 said totally works flawlessly, for a keyboard",positive
"check works flawlessly, for a phone http://spam.link/937",positive
"perfect, defective, the model number is xj-220, for a watch",neutral
"very smooth, the model number is xj-220, for a blender",positive
"barely great value, for a charger",positive
"hardly totally terrible, refund, for a phone",negative
"<b>broken, for a headphones</b> &amp; more",negative
"not really awful, never again, for a keyboard",negative
"incredibly reliable, for a phone",positive
"check stopped working, for a keyboard http://spam.link/584",neutral
"totally five stars, for a charger",positive
"smooth, never very fantastic, the box includes a cable, for a backpack",positive
"barely broken, for a phone",negative
"never incredibly great value, for a backpack",positive
"@user123 said broken, for a charger",negative
"amazing, broken, the model number is xj-220, for a backpack",neutral
"superb, incredibly outstanding, for a headphones",positive
"never totally waste of money, for a charger",negative
"check not perfect, for a watch http://spam.link/324",positive
"disappointing, disappointing, for a headphones",negative
"very highly recommend, for a headphones",positive
"amazing, defective, i bought this in march, for a backpack",neutral
"<b>hardly annoying, refund, the manual has 12 pages, for a laptop</b> &amp; more",negative
"check brilliant, useless, the company is based in ohio, for a backpack http://spam.link/850",neutral
"not waste of money, never disappointing, for a blender",negative
"never brilliant, totally amazing, for a phone",positive
"works flawlessly, one star, the app connects over bluetooth, for a laptop",neutral
"never totally stopped working, terrible, for a headphones",negative
"@user123 said five stars, regret buying, the company is based in ohio, for a backpack",neutral
"highly recommend, not exceeded expectations, for a keyboard",positive
"defective, terrible, for a blender",negative
"cheap plastic, for a watch",negative
"hardly crashed, totally broken, for a watch",negative
"<b>hardly defective, useless, for a keyboard</b> &amp; more",negative
"very superb, i bought this in march, for a charger",positive
"great value, perfect, for a keyboard",positive
"outstanding, poor quality, the model number is xj-220, for a backpack",neutral
"barely absolutely never again, hate, for a headphones",negative
"incredibly cheap plastic, for a charger",negative
"<b>useless, for a charger</b> &amp; more",negative
"wonderful, totally exceeded expectations, it launched last year, for a laptop",positive
"cheap plastic, really stopped working, it launched last year, for a headphones",negative
"hardly does not work, for a headphones",negative
"works flawlessly, not great value, for a watch!!! sooo goooood",positive
"<b>absolutely regret buying, i bought this in march, for a headphones</b> &amp; more",negative
"wonderful, disappointing, it launched last year, for a charger",neutral
"waste of money, for a backpack",neutral
"excellent, never again, it comes in two colors, for a charger",neutral
"outstanding, i bought this in march, for a watch",positive
"barely best purchase, barely fantastic, for a backpack",positive
"outstanding, hate, the app connects over bluetooth, for a charger",neutral
"delighted, broken, it weighs about 300 grams, for a phone",neutral
"five stars, waste of money, it weighs about 300 grams, for a watch",neutral
"check does not work, defective, for a headphones http://spam.link/100",negative
"totally waste of money, the model number is xj-220, for a blender!!! sooo goooood",negative
"impressive, i bought this in march, for a watch",positive
"really terrible, hardly totally awful, for a blender",negative
"smooth, refund, the manual has 12 pages, for a backpack",neutral
"highly recommend, reliable, the box includes a cable, for a headphones",positive
"superb, poor quality, it comes in two colors, for a backpack!!! sooo goooood",neutral
"really works flawlessly, brilliant, for a laptop",positive
"great value, stopped working, it uses usb-c, for a watch",neutral
"useless, for a blender",negative
"barely slow, the company is based in ohio, for a backpack",negative
"excellent, for a keyboard",positive
"barely annoying, it launched last year, for a keyboard",negative
"<b>never stopped working, refund, for a phone</b> &amp; more",negative
"@user123 said very refund, hardly incredibly slow, it comes in two colors, for a blender",negative
"incredibly top quality, exceeded expectations, the model number is xj-220, for a charger",neutral
"barely absolutely perfect, for a charger",positive
"never love, reliable, it comes in two colors, for a laptop",positive
"brilliant, annoying, it weighs about 300 grams, for a backpack",neutral
"impressive, never highly recommend, the model number is xj-220, for a charger",positive
"very brilliant, for a charger",positive
"brilliant, defective, it uses usb-c, for a headphones",neutral
"@user123 said brilliant, does not work, the model number is xj-220, for a laptop",neutral
"excellent, fantastic, for a laptop",positive
"barely broken, really waste of money, for a phone!!! sooo goooood",negative
"exceeded expectations, poor quality, the model number is xj-220, for a charger",neutral
"defective, for a blender",negative
"useless, for a laptop",negative
"cheap plastic, for a charger",negative
"poor quality, useless, for a blender",negative
"perfect, for a headphones!!! sooo goooood",positive
"five stars, defective, the app connects over bluetooth, for a blender",neutral
"barely best purchase, for a keyboard",positive
"superb, barely totally outstanding, for a blender",positive
"regret buying, for a charger",negative
"<b>highly recommend, not outstanding, for a laptop</b> &amp; more",positive
"exceeded expectations, stopped working, the company is based in ohio, for a keyboard",neutral
"highly recommend, for a headphones",positive
"barely excellent, very brilliant, the model number is xj-220, for a charger",positive
"disappointing, for a laptop",negative
"defective, very broken, for a headphones",negative
"totally wonderful, hardly amazing, for a headphones",positive
"check top quality, hate, the manual has 12 pages, for a charger http://spam.link/447",neutral
"<b>disappointing, for a watch</b> &amp; more",neutral
"incredibly awful, barely never again, for a keyboard",negative
"never incredibly works flawlessly, barely fantastic, for a phone",positive
"@user123 said totally exceeded expectations, wonderful, the manual has 12 pages, for a headphones",positive
"best purchase, regret buying, it uses usb-c, for a charger",neutral
"absolutely five stars, very brilliant, for a phone",positive
"top quality, terrible, the app connects over bluetooth, for a laptop",neutral
"really crashed, totally stopped working, for a blender",negative
"not very waste of money, for a headphones",negative
"@user123 said not excellent, it uses usb-c, for a keyboard",positive
"absolutely never again, annoying, for a phone!!! sooo goooood",negative
"highly recommend, for a headphones",positive
"never again, for a blender",negative
